Target, #TripleInThatClass, TimeSinceStartOfVerification(ms)
violated, 5217, 5206
violated, 325, 5146
violated, 9236, 5253
violated, 8888, 5251
violated, 742, 5149
violated, 7999, 5244
violated, 6290, 5232
violated, 5468, 5223
violated, 6045, 5230
violated, 7613, 5242
violated, 1116, 5151
violated, 6234, 5232
violated, 5406, 5223
violated, 4296, 5200
violated, 9681, 5272
violated, 3692, 5195
violated, 9006, 5251
violated, 7088, 5238
violated, 6523, 5234
violated, 3536, 5194
violated, 1533, 5176
violated, 6675, 5235
violated, 290, 5146
violated, 2411, 5185
violated, 6013, 5229
violated, 8024, 5245
violated, 708, 5149
violated, 4689, 5202
violated, 3010, 5191
violated, 6391, 5233
violated, 9946, 5580
violated, 3791, 5196
violated, 1942, 5180
violated, 9928, 5556
violated, 797, 5149
violated, 3428, 5194
violated, 6643, 5235
violated, 6806, 5236
violated, 4588, 5202
violated, 1971, 5181
violated, 4467, 5201
violated, 2358, 5185
violated, 6953, 5237
violated, 1583, 5176
violated, 9373, 5270
violated, 8258, 5246
violated, 2592, 5187
violated, 5455, 5223
violated, 8335, 5247
violated, 7093, 5238
violated, 867, 5150
violated, 4099, 5198
violated, 8831, 5250
violated, 8815, 5250
violated, 7413, 5240
violated, 348, 5146
violated, 7696, 5242
violated, 4899, 5204
violated, 4942, 5204
violated, 8352, 5247
violated, 1241, 5167
violated, 6271, 5232
violated, 6275, 5232
violated, 9774, 5451
violated, 5175, 5206
violated, 1818, 5179
violated, 8877, 5251
violated, 6312, 5232
violated, 2478, 5186
violated, 1385, 5168
violated, 4573, 5202
violated, 5438, 5223
violated, 6294, 5232
violated, 9750, 5273
violated, 9544, 5271
violated, 8161, 5246
violated, 2276, 5184
violated, 2745, 5189
violated, 5391, 5223
violated, 7861, 5244
violated, 8918, 5251
violated, 3108, 5191
violated, 7593, 5242
violated, 5238, 5206
violated, 7383, 5240
violated, 9164, 5253
violated, 9743, 5273
violated, 3018, 5191
violated, 2469, 5186
violated, 9243, 5253
violated, 6051, 5230
violated, 1295, 5168
violated, 5420, 5223
